Name,Price,Kilometers,Fuel
2021 Hyundai Alcazar Prestige 7 STR 2.0 Petrol,Rs. 13.75 Lakh,"16,000",Petrol
2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020],Rs. 6.9 Lakh,"93,970",Petrol
2015 Mercedes-Benz E-Class E 220 D,Rs. 15 Lakh,"1,46,618 ",Diesel
2014 Mercedes-Benz GLA 200 CDI Sport,Rs. 14.5 Lakh,"74,000",Diesel
2018 Tata Tiago Revotron XZA,Rs. 4.02 Lakh,"26,541",Petrol
2014 Maruti Suzuki Swift VXi,Rs. 3.45 Lakh,"73,370",Petrol
2019 Volvo XC90 D5 Inscription,Rs. 42.5 Lakh,"68,000",Diesel
2018 Jaguar F-Pace Prestige Petrol,Rs. 32.5 Lakh,"26,000",Petrol
2023 Mercedes-Benz GLS 400d 4MATIC [2020-2023],Rs. 100 Lakh,"50,000",Diesel
2021 Volvo XC40 T4 R-Design,Rs. 29.5 Lakh,"34,000",Petrol
2015 Hyundai i10 1.2 L Kappa Magna Special Edition,Rs. 3.25 Lakh,"44,023",Petrol
2019 Land Rover Range Rover Sport HSE 2.0 Petrol,Rs. 58 Lakh,"85,012",Petrol
2023 BMW 6-Series GT 630i M Sport [2021-2023],Rs. 59.5 Lakh,"18,300",Petrol
2017 Renault Kwid 1.0 RXT [2016-2019],Rs. 2.74 Lakh,"22,158",Petrol
2018 BMW 3-Series 320d Sport Shadow Edition,Rs. 19.9 Lakh,"76,246",Diesel
2021 Tata Tiago XZ Plus [2020-2023],Rs. 5.12 Lakh,"42,923",Petrol
2018 Jeep Compass Limited (O) 2.0 Diesel [2017-2020],Rs. 7.5 Lakh,"81,280",Diesel
2018 Maruti Suzuki Ciaz Delta 1.4 MT,Rs. 6 Lakh,"76,178",Petrol
2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Rs. 4 Lakh,"74,778",Petrol
2017 Hyundai Creta SX Plus 1.6  Petrol,Rs. 7 Lakh,"82,596",Petrol
2017 Honda City ZX CVT Petrol [2017-2019],Rs. 6.1 Lakh,"71,132",Petrol
2017 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],Rs. 17 Lakh,"1,01,500 ",Diesel
2021 BMW X3 xDrive 30i Luxury Line [2018-2019],Rs. 38.9 Lakh,"55,000",Petrol
2008 Hummer H2 SUV,Rs. 98 Lakh,"35,000",Petrol
2023 Hyundai Creta SX 1.5 Petrol CVT,Rs. 13.75 Lakh,"48,100",Petrol
2015 Honda City SV CVT,Rs. 5.11 Lakh,"60,804",Petrol
2022 Hyundai Creta S Plus 1.5 Petrol Knight Dual Tone,Rs. 11.9 Lakh,"27,000",Petrol
2021 Tata Harrier XZA Plus,Rs. 14 Lakh,"90,687",Diesel
2015 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2016-2017],Rs. 4.25 Lakh,"53,263",Petrol
2023 Jeep Meridian Limited (O) 4X4 AT [2022],Rs. 25.9 Lakh,"40,000",Diesel
2008 Hummer H2 SUV,Rs. 98 Lakh,"35,000",Petrol
2023 Hyundai Creta SX 1.5 Petrol CVT,Rs. 13.75 Lakh,"48,100",Petrol
2018 Ford Endeavour Titanium 3.2 4x4 AT,Rs. 21.75 Lakh,"1,16,000 ",Diesel
2017 Audi Q3 30 TDI Premium FWD,Rs. 18.9 Lakh,"68,000",Diesel
2020 BMW X4 xDrive30i M Sport X,Rs. 39.9 Lakh,"67,000",Petrol
2016 Hyundai Grand i10 Sportz (O) U2 1.2 CRDi [2017-2018],Rs. 3.8 Lakh,"60,000",Diesel
2013 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Rs. 3.25 Lakh,"90,221",Petrol
2023 MG Hector Plus Sharp Pro 2.0 Turbo Diesel 7 STR [2023],Rs. 17.9 Lakh,"11,300",Diesel
2021 Hyundai Alcazar Prestige 7 STR 2.0 Petrol,Rs. 13.75 Lakh,"16,000",Petrol
2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020],Rs. 6.9 Lakh,"93,970",Petrol
2015 Mercedes-Benz E-Class E 220 D,Rs. 15 Lakh,"1,46,618 ",Diesel
2014 Mercedes-Benz GLA 200 CDI Sport,Rs. 14.5 Lakh,"74,000",Diesel
2018 Tata Tiago Revotron XZA,Rs. 4.02 Lakh,"26,541",Petrol
2014 Maruti Suzuki Swift VXi,Rs. 3.45 Lakh,"73,370",Petrol
2019 Volvo XC90 D5 Inscription,Rs. 42.5 Lakh,"68,000",Diesel
2018 Jaguar F-Pace Prestige Petrol,Rs. 32.5 Lakh,"26,000",Petrol
2012 Maruti Suzuki Swift VXi,Rs. 3.22 Lakh,"66,677",Petrol
2022 Maruti Suzuki Vitara Brezza ZXi,Rs. 9.11 Lakh,"25,000",Petrol
2019 Tata Harrier XZ [2019-2020],Rs. 10.25 Lakh,"63,000",Diesel
2017 Maruti Suzuki DZire VDi AMT,Rs. 5.35 Lakh,"77,000",Diesel
2018 Hyundai Verna SX (O) 1.6 CRDi,Rs. 7.35 Lakh,"79,000",Diesel
2021 BMW 2 Series Gran Coupe 220d Sportline,Rs. 29.9 Lakh,"20,500",Diesel
2021 Mahindra Thar LX Hard Top Petrol AT 4WD,Rs. 11.35 Lakh,"30,439",Petrol
2016 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],Rs. 3.61 Lakh,"64,180",CNG
2022 Volkswagen Virtus Highline 1.0 TSI AT,Rs. 12.9 Lakh,"39,400",Petrol
2017 Volvo XC90 D5 Inscription,Rs. 32.5 Lakh,"86,000",Diesel
2022 Land Rover Discovery Sport SE R-Dynamic [2023-2024],Rs. 43.5 Lakh,"23,800",Mild Hybrid (Electric + Diesel)
2017 BMW X1 sDrive20d xLine,Rs. 19.9 Lakh,"58,000",Diesel
2008 BMW 7-Series 730Ld Sedan,Rs. 9.9 Lakh,"35,000",Diesel
2022 Mercedes-Benz AMG GLC 43 Coupe 4MATIC [2020-2023],Rs. 69 Lakh,"16,900",Petrol
2017 BMW X1 sDrive20d Expedition,Rs. 11 Lakh,"1,33,845 ",Diesel
2013 Jaguar XF 2.2 Diesel,Rs. 11 Lakh,"44,381",Diesel
2025 Mercedes-Benz E-Class 450 4MATIC [2024-2025],Rs. 83 Lakh,"11,000",Petrol
2010 BMW 3-Series 325i,Rs. 6.5 Lakh,"54,000",Petrol
