Brand,Model,Features
Hyundai,Creta,1.6 SX Plus AT Petrol
Audi,Q3,30 TFSI Premium
Hyundai,Elite i20,Sportz Plus 1.4 CRDi
Honda,WR-V,VX MT Diesel
Hyundai,Verna,SX (O) 1.6 CRDi
Mercedes-Benz,E-Class,E 220 d Avantgarde
BMW,3 Series,GT 320d Luxury Line [2014-2016]
Audi,A3,35 TDI Premium Plus + Sunroof
Audi,Q5,3.0 TDI quattro Premium Plus
Hyundai,i10,1.2 L Kappa Magna Special Edition
Mercedes-Benz,GLS,450d 4MATIC
Tata,Nexon,XZ Plus Diesel Dual Tone
Honda,City,V
Isuzu,D-Max,V-Cross 4x4
Kia,Sonet,HTX 1.5 [2020-2021]
MG,Hector,Sharp 2.0 Diesel Turbo MT
Audi,A6,2.0 TDI Premium
Chevrolet,Cruze,LTZ AT
Toyota,Innova,2.5 G 8 STR BS-IV
Mercedes-Benz,GLA,200 d Sport
Mercedes-Benz,CLE,cabriolet 300 AMG Line
Hyundai,i10,1.1L iRDE Magna Special Edition
Mercedes-Benz,E-Class,E 220 d Avantgarde
Toyota,Innova Crysta,2.4 V Diesel
Toyota,Glanza,V AMT [2022-2023]
Toyota,Etios,VXD Xclusive
Volkswagen,Taigun,Highline 1.0 TSI AT
BMW,3 Series,GT 320d Sport Line [2014-2016]
Mercedes-Benz,GLE,300d 4MATIC LWB [2020-2023]
Audi,Q3,2.0 TDI quattro Premium Plus
Mercedes-Benz,EQS,SUV 450 5 Seater
Toyota,Urban Cruiser,Premium Grade MT
Honda,City,1.5 S MT
Skoda,Kushaq,Ambition 1.0L TSI AT
Hyundai,Exter,SX 1.2 AMT Knight Edition
Audi,Q7,Bold Edition
Maruti Suzuki,Ignis,Zeta 1.2 AMT
Mahindra,Bolero,N10 (O)
Toyota,Fortuner,3.0 4x4 MT
Renault,Kiger,RXZ Turbo CVT
Mercedes-Benz,C-Class,C 300
Mercedes-Benz,GLE,450 4MATIC LWB [2020-2023]
Kia,Sonet,HTX 1.0 iMT [2020-2021]
Jeep,Compass,Limited 2.0 Diesel [2017-2020]
Maruti Suzuki,Vitara Brezza,ZDi Plus
Toyota,Innova Crysta,2.8 ZX AT 7 STR [2016-2020]
Maruti Suzuki,Swift,VXi AMT [2018-2019]
Toyota,Fortuner,3.0 4x2 MT
Hyundai,Creta,S Plus 1.5 Diesel Knight
Tata,Safari,XT Plus
